股票,代码,行业,alpha,alpha_pvalue,beta,beta_ci_low,beta_ci_high,r_squared
我爱我家,000560,房地产,-0.0003234229218412674,0.653848851463857,0.941908013036082,0.822541679832256,1.061274346239908,0.13485008435731316
万通发展,600246,房地产,0.0004739169767045188,0.5930948098667939,0.8372239244353691,0.6904616595698748,0.9839861893008633,0.07537218042676264
长安汽车,000625,汽车,0.0002130248354998869,0.7524861211228047,1.1912186772544693,1.0794231264820449,1.3030142280268937,0.22131162037340057
赛力斯,601127,汽车,0.0011784830402380942,0.2054870510491896,1.130857585637681,0.9767567068045178,1.2849584644708443,0.11886107655645117
酒鬼酒,000799,白酒,2.1601117037178748e-05,0.973359829932166,1.4556634833820128,1.3486076310080968,1.5627193357559288,0.31638670404456537
贵州茅台,600519,白酒,9.910448247172737e-05,0.7669990504029022,0.9643291428019146,0.90897327581742,1.0196850097864092,0.43171437816782865
京能电力,600578,能源,0.000543844952712883,0.2774426287734626,0.5417740729387056,0.4589148255154641,0.6246333203619471,0.0966731683670865
节能风电,601016,能源,0.0005312774412943765,0.37595639987079166,0.8530464579861979,0.7539067965727304,0.9521861193996655,0.1568739854441059
中兴通讯,000063,通讯,-4.049630589298693e-05,0.943440625496293,1.247094993206784,1.1526361214105796,1.3415538650029886,0.30392151555598146
信维通信,300136,通讯,0.00039415506669485573,0.595778534227312,1.3792696220974077,1.2563023920813672,1.5022368521134482,0.23950832012664858
